company,website,placement,youtube_spss,youtube,twitter_spss,twitter,facebook_spss,facebook,linkedin_spss,linkedin,instagram_spss,instagram,glassdoor,slideshare,RSS,Xing,Flickr
Abbott,https://www.abbott.com/,footer,1,https://www.youtube.com/c/abbott,1,https://twitter.com/AbbottNews,1,https://www.facebook.com/Abbott,1,https://www.linkedin.com/company/abbott-/,1,https://www.instagram.com/abbottglobal/,,,,,
Amgen,https://www.amgen.com/,footer,1,https://www.youtube.com/user/Amgen,1,https://twitter.com/amgen,1,https://www.facebook.com/amgenbiotech/,1,https://www.linkedin.com/company/amgen/,1,https://www.instagram.com/amgenbiotech/,,,,,
Astrazeneca,https://www.astrazeneca.com/,footer,1,https://www.youtube.com/user/astrazeneca,1,https://twitter.com/AstraZeneca,1,https://www.facebook.com/astrazenecacareers,1,https://www.linkedin.com/company/astrazeneca/,1,https://www.instagram.com/astrazeneca/,"https://www.glassdoor.co.uk/Overview/Working-at-AstraZeneca-EI_IE9214.11,22.htm",,,,
chiesi,https://www.chiesi.com/en/,footer,0,,1,https://twitter.com/ChiesiGroup,1,https://www.facebook.com/chiesifarmaceutici/,1,https://www.linkedin.com/company/chiesi-group/,0,,,,,,
Basf,https://www.basf.com/global/en.html,footer,1,https://www.youtube.com/user/basf,1,https://twitter.com/BASF,1,https://www.facebook.com/BASF.Greece/?brand_redir=117200981662779,1,https://www.linkedin.com/company/basf/,1,https://www.instagram.com/basf_global/,,https://www.slideshare.net/basf/presentations,,,
Bayer,https://www.bayer.com/en/,footer,1,https://www.youtube.com/user/BayerTVinternational,1,https://twitter.com/bayer,1,https://www.facebook.com/Bayer,1,https://www.linkedin.com/company/bayer/,1,https://www.instagram.com/bayerofficial/,,,https://www.bayer.com/en/rss,,
Beiersdorf,https://www.beiersdorf.com/,footer,0,,1,https://twitter.com/beiersdorf_ag,0,,1,https://www.linkedin.com/company/beiersdorf/,0,,,,,https://www.xing.com/pages/beiersdorfag,
Boehringer Ingelheim,https://www.boehringer-ingelheim.com/,footer,1,https://www.youtube.com/user/boehringeringelheim,1,https://twitter.com/boehringer,1,https://www.facebook.com/BoehringerGR/?brand_redir=147958921897855,1,https://www.linkedin.com/company/boehringer-ingelheim/?originalSubdomain=de,1,https://www.instagram.com/boehringer_ingelheim/,,,,,
Bristol Mayers Squibb,https://www.bms.com/,footer,1,https://www.youtube.com/bristolmyerssquibb,1,https://twitter.com/BMSNEWS,1,https://www.facebook.com/BristolMyersSquibb,1,https://www.linkedin.com/company/bristol-myers-squibb/,1,https://www.instagram.com/bristolmyerssquibb/,,,,,
GSK,https://www.gsk.com/en-gb/home/,footer,1,https://www.youtube.com/GSK,1,https://twitter.com/GSK,1,https://www.facebook.com/GSK,1,https://www.linkedin.com/company/glaxosmithkline/,1,https://www.instagram.com/gsk/,,,https://www.gsk.com/en-gb/media/rss-feeds/,,https://www.flickr.com/photos/glaxosmithkline
Janssen,https://www.janssen.com/,footer,1,https://www.youtube.com/channel/UCHOwWxMVtei89ur1JxMvOdA,1,https://twitter.com/JanssenGlobal,0,,1,https://www.linkedin.com/company/janssen-pharmaceutical-companies-of-johnson-and-johnson/,1,https://www.instagram.com/janssenglobal/,,,,,
Leo Pharma,https://www.leo-pharma.com/,footer,1,https://www.youtube.com/user/leopharmaglobal,1,https://twitter.com/LEOHealthySkin,1,https://www.facebook.com/LEOPharmaAS,1,https://www.linkedin.com/company/leo-pharma/,0,,,,,,
Lilly,https://www.lilly.com/,footer,1,https://www.youtube.com/user/EliLillyandCompany,1,https://twitter.com/LillyPad,1,https://www.facebook.com/elilillyandco,1,https://www.linkedin.com/company/eli-lilly-and-company/,1,https://www.instagram.com/elilillyco/,,,,,
Merck,https://www.merck.com/,footer,1,https://www.youtube.com/user/Merck,1,https://twitter.com/Merck,0,,1,https://www.linkedin.com/company/merck/,1,https://www.instagram.com/merck/,,,,,
Merck group,https://www.merckgroup.com/en/expertise/our-businesses/healthcare.html,footer,0,,1,https://twitter.com/merckgroup,1,https://www.facebook.com/merckgroup/,1,https://www.linkedin.com/company/merck-group/,1,https://www.instagram.com/merckgroup/?hl=en,,,,,
Novartis,https://www.novartis.com/,footer,1,https://www.youtube.com/user/Novartis,1,https://twitter.com/novartis,1,https://www.facebook.com/novartis,1,https://www.linkedin.com/company/novartis/,1,https://www.instagram.com/novartis/,,,,,
Novonordisk,https://www.novonordisk.com/,footer,1,https://www.youtube.com/user/novonordisk,1,https://twitter.com/novonordisk,1,https://www.facebook.com/novonordisk,1,https://www.linkedin.com/company/novo-nordisk/,1,https://www.instagram.com/novonordisk/,,,,,
Pfizer,https://www.pfizer.com/,footer,1,https://www.youtube.com/Pfizer,1,https://twitter.com/Pfizer,1,https://www.facebook.com/Pfizer,1,https://www.linkedin.com/company/pfizer/,1,https://www.instagram.com/pfizerinc/,,,,,
Roche,https://www.roche.com/,footer,1,https://www.youtube.com/user/roche,1,https://twitter.com/roche,1,https://www.facebook.com/roche,1,https://www.linkedin.com/company/roche/?trk=hb_tab_compy_id_1602,1,https://www.instagram.com/roche/,,,,,
Sanofi,https://www.sanofi.com/,footer,1,https://www.youtube.com/user/sanofiaventisTVen,1,https://twitter.com/sanofi,0,,1,https://www.linkedin.com/company/sanofi/,1,https://www.instagram.com/sanofi/,,,https://www.sanofi.com/en/rss,,
Astellas,https://www.astellas.com/en/,footer,1,https://www.youtube.com/user/astellaschannel/videos,0,,0,,1,https://www.linkedin.com/company/astellaspharmainc/,0,,,,,,
Baxter,https://www.baxter.com/,footer,1,https://www.youtube.com/user/BaxterInternational,1,https://twitter.com/baxter_intl?WT.svl=www.baxter.com,1,https://www.facebook.com/BaxterInternationalInc/,1,https://www.linkedin.com/company/baxter-healthcare/?WT.svl=www.baxter.com,0,,,,,,
Angelini,https://www.angelinipharma.com/,footer,1,https://www.youtube.com/channel/UCfs0tpsyuXyYHnQlQUiovGA/featured#,1,https://twitter.com/AngeliniPhIT#,1,https://www.facebook.com/AngeliniPh#,1,https://www.linkedin.com/company/angelinipharma/,1,https://www.instagram.com/angelinipharma/#,,,,,
Gilead,https://www.gilead.com/,footer,1,https://www.youtube.com/channel/UCNSt7PtsfNGbezR9hmvRI1w,1,https://twitter.com/GileadSciences,1,https://www.facebook.com/GileadSciences,1,https://www.linkedin.com/company/gilead-sciences/,0,,,,,,
UCB,https://www.ucb.com/,header,1,https://www.youtube.com/user/UCB,1,https://twitter.com/ucb_news,1,https://www.facebook.com/UCBBiopharma,1,https://www.linkedin.com/company/ucb-pharma/,1,https://www.instagram.com/ucb_biopharma/,,,,,
Takeda,https://www.takeda.com/,footer,1,https://www.youtube.com/takeda-pharmaceuticals,1,https://twitter.com/takedapharma,0,,1,https://www.linkedin.com/company/takeda-pharmaceuticals/,0,,,,,,